Boiler Model,Burner Model,Number of identical boilers,Boiler capacity (Gross BTU),Boiler Installation Date,Age range of boiler,Is boiler dual fuel capable?,Primary Fuel,Total Estimated Cosumption - Low Estimate (Gallons) ,Needs to comply with Greener Greater Buildings Laws?,Deadline for complying with Audit and Retrocommissioning Law,Building Type,Total area of buildings on lot,Number of floors,Number of total units,Year constructed
FEDERAL   FST-150,ICI   DEG-63P,1,5,2006,5--,DUAL FUEL,#6,31810,No,0,Elevator Apartments,22680,6,24,1910
FEDERAL   FST-150,ICI MMG-63P,1,5.02,2005,5—10,DUAL FUEL,#4,23362,Yes,2021,Elevator Apartments,69300,6,92,1974
FEDERAL   FST-150,INDUSTRIAL COMB.  MMG-63,1,5.02,2002,5—10,DUAL FUEL,#4,34110,Yes,2022,Factory & Industrial Buildings,70436,6,68,1920
FEDERAL   FST-150,IND.COMB.  DEG-63 P,1,6.27,2000,5—10,DUAL FUEL,#6,48111,Yes,2021,Elevator Apartments,106519,9,75,1925
FEDERAL   FST-150,HEVE (ICI)DEG 63 P,2,6.27,1997,11—15,DUAL FUEL,#6,91980,Yes,2018,Elevator Apartments,122346,13,154,1957
FEDERAL   FST-150,INDUSTRIAL  COMB. DEG-63 P,2,6.3,2002,5—10,DUAL FUEL,#6,31810,Yes,2019,Condominiums,182048,16,111,1929
FEDERAL   FST-150,INDUSTRIAL COMB DEG-63 P,1,6.3,2001,5—10,DUAL FUEL,#6,31810,Yes,2016,Condominiums,56051,14,70,1966
FEDERAL   FST-150,JOHNSON FD68A (SIZE 150),1,6.3,2000,5—10,DUAL FUEL,#6,34492,Yes,2014,Elevator Apartments,111580,11,6,1949
FEDERAL   FST-150,ST.JOHNSON  FD 68 CAHM,1,6.3,2000,5—10,DUAL FUEL,#6,45990,Yes,2018,Elevator Apartments,114488,12,35,1904
FEDERAL   FST-175 (NEW),INDUSTRIAL COMBUSTION   DEG-84P (NEW),1,5.8,2005,5—10,DUAL FUEL,#6,43116,Yes,2019,Elevator Apartments,113309,12,149,1903
FEDERAL   FST-200,INDUSTRIAL COMB.  DEG-84 (P),1,7.77,1995,11—15,DUAL FUEL,#6,42541,Yes,2015,Elevator Apartments,97846,6,93,1927
FEDERAL   FST-200,INDUSTRIAL COMB.  DEG 84-P,1,8.19,1999,11—15,DUAL FUEL,#6,44841,Yes,2020,Office Buildings,78210,6,120,1930
FEDERAL   FST-200,HEVE (ICI)  DEG 84 P,1,8.4,2000,5—10,DUAL FUEL,#6,57487,Yes,2015,Elevator Apartments,144000,3,34,1901
FEDERAL   FST-250,INDUSTRIAL COMBUSTION  DEG-105,2,8.3,2006,5--,DUAL FUEL,#6,104545,Yes,2018,Elevator Apartments,323690,16,174,1929
FEDERAL   FST-250,INDUSTRIAL COMB.   DEG-105 P,1,8.37,2002,5—10,DUAL FUEL,#6,35780,Yes,2018,Elevator Apartments,130625,18,22,1926
FEDERAL   FST-250,INDUSTRIAL COMB.   DEG-105 (P),1,10.4,1996,11—15,DUAL FUEL,#6,52650,Yes,2019,Factory & Industrial Buildings,128114,15,92,1927
FEDERAL   FST-250,ICI  DEG-105 P,1,10.5,2001,5—10,DUAL FUEL,#6,35805,Yes,2022,Elevator Apartments,274209,20,75,1927
FEDERAL   FST-250,INDUSTRIAL COMB.  DEG-105 P,1,10.5,1997,11—15,DUAL FUEL,#6,47740,Yes,2020,Elevator Apartments,157748,19,24,1927
FEDERAL   FST-250,INDUSTRIAL  COMB. DEG-105 P,1,10.5,2002,5—10,DUAL FUEL,#6,52275,Yes,2017,Elevator Apartments,114000,6,120,1935
FEDERAL   FST-250,IND.COMB.    DEG 105 P,1,10.5,2000,5—10,DUAL FUEL,#6,52275,Yes,2014,Walk-Up Apartments,128901,6,158,1962
FEDERAL   FST-250,HEVE (ICI)  DEG 105 P,2,10.5,2000,5—10,DUAL FUEL,#6,68985,Yes,2020,Walk-Up Apartments,22960,16,296,1957
FEDERAL   FST-250  (NEW),ICI  DEG-105P,2,8.3,2006,5--,DUAL FUEL,#6,51559,Yes,2014,Elevator Apartments,316500,14,309,1927
FEDERAL   FST-300,IND.COMB  DEG 145 P,1,10.04,2000,5—10,DUAL FUEL,#6,32742,Yes,2013,Elevator Apartments,236789,13,321,1903
FEDERAL   FST-40,IND. COMB. MMG-22,1,1.72,1995,11—15,DUAL FUEL,#4,16097,No,0,Elevator Apartments,18500,5,24,1915
FEDERAL   FST-40,ICI    MMG22,1,1.72,1994,16—20,Not Dual,#4,16352,No,0,Walk-Up Apartments,19404,6,25,1910
FEDERAL   FST-400,ICI  DEG-175 P,1,15.46,1998,11—15,DUAL FUEL,#6,46368,Yes,2015,Elevator Apartments,326464,10,8,1917
FEDERAL   FST-50 (NEW),ICI  MMG-22  (NEW),1,1.67,2003,5—10,DUAL FUEL,#4,14819,No,0,Elevator Apartments,13640,5,25,1925
FEDERAL   FST-50 EXSTG),INDUSTRIAL COMBUSTION  MMG-22,1,1.6,2005,5—10,DUAL FUEL,#4,7612,No,0,Elevator Apartments,26940,6,39,1930
FEDERAL   FST-70,INDUSTRIAL COMB.  DEG-42 Y (P),1,2.8,1995,11—15,DUAL FUEL,#6,21820,No,0,Elevator Apartments,32830,6,36,1920
FEDERAL   FST-70,ICI   MMG-28  P,1,2.94,2000,5—10,DUAL FUEL,#4,15177,No,0,Elevator Apartments,33078,6,44,1929
FEDERAL   FST-70 (NEW),ICI  MMG-30 (NEW),1,2.34,2003,5—10,DUAL FUEL,#4,16097,Yes,2021,Elevator Apartments,50000,6,48,1924
FEDERAL   FST-80,INDUSTRIAL COMB.  MMG-34 (P),1,3.4,1996,11—15,DUAL FUEL,#4,17431,Yes,2019,Elevator Apartments,62632,14,16,1927
FEDERAL   FST-80,INDUSTRIAL  COMB.   DEG-42    Y P,1,3.43,2001,5—10,DUAL FUEL,#6,18780,No,0,Condominiums,47191,6,50,1929
FEDERAL   FST-80 ,ICI   MEG-34P,1,2.6,2007,5--,DUAL FUEL,#6,10319,No,0,Condominiums,27192,4,40,1928
FEDERAL   FST-80 (NEW),ICI  MMG-34P (NEW),1,2.6,2005,5—10,DUAL FUEL,#4,18779,No,0,Elevator Apartments,42684,6,52,1930
FEDERAL   FST-80 (NEW),INDUSTRIAL COMBUSTION MMG-34P (NEW),1,2.6,2005,5—10,DUAL FUEL,#4,18780,No,0,Elevator Apartments,43070,6,54,1930
FEDERAL   FST-80 (NEW),ICI  MMG-34P (NEW),1,2.67,2003,5—10,DUAL FUEL,#4,18780,No,0,Elevator Apartments,41095,5,67,1923
FEDERAL   FST-90,ICI    MMG-42 P,1,3.78,2000,5—10,DUAL FUEL,#4,20389,No,0,Churches,22344,6,30,1910
FEDERAL   FST-90,IND.COMB  MMG-42 P,1,3.78,2000,5—10,DUAL FUEL,#4,20389,Yes,2017,Office Buildings,45165,7,54,1964
FEDERAL   FST-90,ICI   DEG-42  P,1,3.78,2001,5—10,DUAL FUEL,#4,20772,No,0,Elevator Apartments,46980,6,48,1941
FEDERAL   FST-90,INDUSTRIAL  COMB. DEG-42 (P),1,3.79,1996,11—15,DUAL FUEL,#4,20772,No,0,Elevator Apartments,43630,5,68,1925
FEDERAL   FST-90,INDUSTRIAL  COMB.  DEG-42 (P),1,3.79,1996,11—15,DUAL FUEL,#6,20772,No,0,Educational Structures,44500,5,59,1929
FEDERAL   FST-90 (NEW),ICI   DEG-42P (NEW),1,3,2006,5--,DUAL FUEL,#6,19546,No,0,Walk-Up Apartments,20575,5,30,1927
FEDERAL   FST-90 (NEW),INDUSTRIAL COMBUSTION   DEG-42P(NEW),1,3,2006,5--,DUAL FUEL,#6,29153,Yes,2013,Walk-Up Apartments,54185,3,54,1930
FEDERAL  (2)  #FLR 3036,INDUST COMB DEG-145(S),2,11.9,1984,26—30,Not Dual,#6,182785,Yes,2020,Walk-Up Apartments,201206,21,169,1963
FEDERAL  (NEW) FST-150 ,ICI  (NEW)  DEG-63P,2,5.02,2003,5—10,DUAL FUEL,#6,63619,Yes,2022,Elevator Apartments,155544,21,79,1962
FEDERAL  #FLR 4250,ST JOHNSON A53400 (ROTARY),1,15.7,1966,41—45,Not Dual,#6,228928,Yes,2013,Elevator Apartments,370814,16,634,1970
FEDERAL  #FLW 1518,PETRO #WD5AH,1,5.1,1972,36—40,Not Dual,#6,75628,Yes,2022,Elevator Apartments,74000,6,94,1963
FEDERAL  #FST 125,I.C. DEG 54P,1,5.3,1988,21—26,Not Dual,#4,32704,Yes,2020,Elevator Apartments,66368,6,54,1928
FEDERAL  #FST 150,ICI  MM63-P,1,2.4,1990,16—20,Not Dual,#4,35000,Yes,2021,Walk-Up Apartments,97758,5,77,1928
FEDERAL  #FST 200,INDUSTRIAL COMBUSTION -DEG-84(P),1,7.8,1982,26—30,Not Dual,#6,59557,Yes,2015,Walk-Up Apartments,106905,15,96,1930
FEDERAL  #FST 200,ICI DEG 84 P,1,8.2,1981,26—30,Not Dual,#6,38632,Yes,2019,Elevator Apartments,110898,12,9,1912
FEDERAL  #FST 300,ICI DEG 145 P,1,11.9,1985,21—26,Not Dual,#6,39442,Yes,2013,Elevator Apartments,201344,12,19,1910
FEDERAL  #FST-125,S.T. JOHNSON FD68CAHM SIZE 100,1,5.25,1984,26—30,Not Dual,#6,560,Yes,2013,Elevator Apartments,63167,14,28,1924
FEDERAL  #FST-150,INDUSTRIAL COMBUSTION #MMG-63-P,1,4.62,1987,21—26,Not Dual,#4,84315,Yes,2013,Walk-Up Apartments,62110,6,69,1951
FEDERAL  #FST-700,ACE # FD-200-VPGH,2,5.6,1967,41—45,Not Dual,#6,306600,Yes,2018,Walk-Up Apartments,324885,16,1,1914
FEDERAL  80,INDUSTRIAL COMB.  MMG-34 P,1,2.68,2002,5—10,DUAL FUEL,#4,26291,No,0,Elevator Apartments,47463,6,43,1920
FEDERAL  ESP 90,HEVE  MEG 42 (P),1,3.8,1993,16—20,Not Dual,#6,28744,Yes,2021,Elevator Apartments,60242,13,47,1941
FEDERAL  FD 450,PETRO  WD 3A,1,4.2,1959,50--,Not Dual,#4,17246,No,0,Elevator Apartments,14230,5,35,1960
FEDERAL  FDST-70,ICI  MMG-34 (P),1,3.43,1992,16—20,Not Dual,#4,18779,No,0,Elevator Apartments,42652,6,52,1928
FEDERAL  FLR  3643,IND. COMB. DEG-145(S),1,11.92,1992,16—20,Not Dual,#6,76650,Yes,2015,Elevator Apartments,339104,26,182,1964
FEDERAL  FLR 4857,WEBSTER  HDRV 7  0 100,1,20.3,1993,16—20,Not Dual,#6,137970,Yes,2017,Elevator Apartments,337570,21,322,1963
FEDERAL  FLR-1822,INDUSTRIAL COMB. MEG-84 (S),1,7,1996,11—15,DUAL FUEL,#6,45990,No,0,Elevator Apartments,192301,4,1,1972
FEDERAL  FLR-2125,IND. COMB.   DEG-84-(S),2,7.4,1991,16—20,Not Dual,#6,112676,Yes,2019,Condominiums,116222,11,100,1965
FEDERAL  FLR-2125,INDUSTRIAL COMB. DEG-84 (S),2,7.8,1996,11—15,DUAL FUEL,#6,59557,Yes,2019,Condominiums,136070,16,126,1967
FEDERAL  FLR-3643,HEVE (ICI) DEG-145 (P),1,14.11,1997,11—15,DUAL FUEL,#6,103478,Yes,2020,Elevator Apartments,271388,21,218,1963
FEDERAL  FLW 1033,HEVEOIL  MEG-42  (S),1,3.6,1986,21—26,Not Dual,#6,22995,No,0,Condominiums,43195,6,74,1940
FEDERAL  FLW 1215,(NEW) S.T. JOHNSON  FD 68 CAHM(SIZE 100),1,5.3,1999,11—15,DUAL FUEL,#6,34492,Yes,2020,Elevator Apartments,51453,12,60,1911
FEDERAL  FLW 1518,INDUSTRIAL COMB.  MMG-54 P,1,5.25,1997,11—15,DUAL FUEL,#4,28744,Yes,2016,Walk-Up Apartments,67000,6,66,1962
FEDERAL  FLW 1822,PETRO  WD 6 AH,2,6.3,1969,41—45,Not Dual,#6,45990,Yes,2021,Elevator Apartments,147534,6,94,1961
FEDERAL  FLW 2125,HEVE  DEG-84 (S),1,8.55,1993,16—20,Not Dual,#6,56338,Yes,2017,Office Buildings,113264,19,119,1963
FEDERAL  FLW 2429,IND. COMD. DEG-84(S),2,8.2,1984,26—30,Not Dual,#6,62776,Yes,2017,Walk-Up Apartments,112507,10,118,1964
FEDERAL  FLW 2429,INDUSTRIAL COMB. DEG-84 (S),1,8.55,1994,16—20,Not Dual,#6,23481,Yes,2020,Elevator Apartments,152400,6,135,1960
FEDERAL  FLW 3036,S.T. JOHNSON  FD68 CAHM SIZE 300,2,14.7,1984,26—30,Not Dual,#6,50691,Yes,2020,Warehouses,216720,16,185,1963
FEDERAL  FLW 3036,HEVE  DEG  145 (S),2,14.75,1993,16—20,Not Dual,#6,149468,Yes,2013,Condominiums,223473,21,139,1962
FEDERAL  FLW 5464,INDUSTRIAL COMB. DEG-210 (P),2,19.99,1998,11—15,DUAL FUEL,#6,218912,No,0,Elevator Apartments,428000,20,237,1956
FEDERAL  FLW 5464,S.T.  JOHNSON FD68 CAHM-500,3,21,1984,26—30,Not Dual,#6,116900,Yes,2022,Elevator Apartments,844578,30,608,1975
FEDERAL  FLW 5464,S.T. JOHNSON  FD68CAHM-500,3,26.46,1984,26—30,Not Dual,#6,84000,Yes,2021,Elevator Apartments,718399,22,439,1970
FEDERAL  FLW-1033,ICI  MMG-42(P),1,4.9,1992,16—20,Not Dual,#4,20389,No,0,Walk-Up Apartments,44919,7,76,1967
FEDERAL  FLW-1215,ICI  DEG-42 (S),1,4.7,1991,16—20,Not Dual,#4,22305,Yes,2018,Elevator Apartments,59580,6,62,1961
FEDERAL  FLW-1518,HEVE (ICI) MMG-54 (P),1,5.25,1999,11—15,DUAL FUEL,#4,36792,Yes,2021,Elevator Apartments,67800,6,69,1962
FEDERAL  FLW-1518,NEW  HEVE( I.C.)  DEG-54 S,1,5.53,2002,5—10,DUAL FUEL,#6,33573,No,0,Walk-Up Apartments,43645,6,53,1964
FEDERAL  FLW-1822,INDUSTRIAL COMB.  DEG-54 S,1,5.25,1994,16—20,Not Dual,#6,28744,Yes,2022,Elevator Apartments,71966,7,69,1963
FEDERAL  FLW-1822,I. C. DEG-54 (P),1,8.81,1991,16—20,Not Dual,#6,52531,Yes,2014,Walk-Up Apartments,64000,6,77,1963
FEDERAL  FLW-2429,INDUSTRIAL COMB.  DEG-884 P,1,8.55,1997,11—15,DUAL FUEL,#6,46833,Yes,2015,Elevator Apartments,130570,6,100,1961
FEDERAL  FLW-547,HEVEOIL AM-4DH,1,5.23,1973,36—40,Not Dual,#4,8942,No,0,Elevator Apartments,17540,5,21,1910
FEDERAL  FLW-6071,HEVE DEG-252-S,3,20.33,1983,26—30,Not Dual,#6,114975,Yes,2017,Elevator Apartments,870000,38,634,1969
FEDERAL  FM 8500,IND. COMB. MMG-34 P,1,2.94,2000,5—10,DUAL FUEL,#4,16097,No,0,Elevator Apartments,35200,5,42,1926
FEDERAL  FM-1518,HEV-E-OIL  AM 6 E,1,5.25,1994,16—20,Not Dual,#4,27786,Yes,2020,Walk-Up Apartments,55084,5,56,1925
FEDERAL  FM-1822,INDUSTRIAL COMB. DEG-54 P,1,5.25,1998,11—15,DUAL FUEL,#6,38325,Yes,2018,Office Buildings,66240,6,71,1911
FEDERAL  FMB 1822,I.C.I.  ME63 (S),1,6.6,1981,26—30,Not Dual,#6,52500,No,0,Elevator Apartments,47612,6,43,1910
FEDERAL  FMB-2429,ICI  DEG-84 (S),1,8.55,1995,11—15,DUAL FUEL,#6,51324,Yes,2021,Office Buildings,132291,12,42,1910
FEDERAL  FMR 1822,INDUSTRIAL COMB. DEG 54 (S),1,5.3,1999,11—15,DUAL FUEL,#6,40242,Yes,2021,Elevator Apartments,57706,6,72,1938
FEDERAL  FST  100,I.C.I  DEG  42 P,1,4.2,1986,21—26,Not Dual,#6,26600,No,0,Office Buildings,47352,6,50,1931
FEDERAL  FST  125,I.C.I.  MEG  54,1,5.25,1991,16—20,Not Dual,#6,31478,Yes,2017,Elevator Apartments,62400,6,61,1928
FEDERAL  FST  150,I.C.I. MM-63P,1,6.2,1991,16—20,Not Dual,#4,45990,Yes,2016,Elevator Apartments,53560,5,59,1923
FEDERAL  FST  150 (NEW),INDUSTRIAL COMBUSTION DEG-63P (NEW),1,5.02,2003,5—10,DUAL FUEL,#6,31810,Yes,2013,Elevator Apartments,76620,6,103,1937
FEDERAL  FST  175 (NEW),INDUSTRIAL COMBUSTION-DEG  84 (NEW),1,5.8,2003,5—10,DUAL FUEL,#6,45990,Yes,2014,Condominiums,167821,8,80,1920
FEDERAL  FST  250  (NEW),INDUSTRIAL COMBUSTION  DEG  105P,2,8.36,2003,5—10,DUAL FUEL,#4,158819,Yes,2017,Walk-Up Apartments,226136,15,198,1962
FEDERAL  FST  80,HEVE  MEG 34 P  ( I.C.I. ),1,3.28,1992,16—20,Not Dual,#6,22995,Yes,2019,Elevator Apartments,51627,14,25,1910
FEDERAL  FST  90 (NEW),ICI  MMG-42P (NEW),1,3.01,2003,5—10,DUAL FUEL,#4,13965,Yes,2013,Condominiums,58200,16,0,1929
FEDERAL  FST  90 (NEW),IC   MMG   42P  (NEW),1,3.01,2003,5—10,DUAL FUEL,#4,20389,No,0,Walk-Up Apartments,31470,9,47,1927
FEDERAL  FST - 100,INDUSTRIAL COMBUSTION  MMG-42-P,1,4.2,1999,11—15,DUAL FUEL,#4,22420,No,0,Elevator Apartments,19255,5,25,1910
FEDERAL  FST - 100 (NEW),,1,3.3,2006,5--,DUAL FUEL,#6,29153,No,0,Elevator Apartments,38394,6,60,1959
FEDERAL  FST - 125,(ICI)DEG 54P,1,3.41,1999,11—15,DUAL FUEL,#6,34492,Yes,2015,Walk-Up Apartments,83220,13,91,1961
FEDERAL  FST 100,ICI  MMG-42,1,3.3,2003,5—10,DUAL FUEL,#4,22228,No,0,Elevator Apartments,43135,6,64,1907
FEDERAL  FST 100,1C1 MEG-42P,1,3.79,1996,11—15,DUAL FUEL,#6,20772,Yes,2021,Elevator Apartments,63000,5,60,1926
FEDERAL  FST 100,ICI MEG 42P,1,4.2,1983,26—30,DUAL FUEL,#6,15400,Yes,2016,Elevator Apartments,52950,6,43,1920
FEDERAL  FST 100,IND.COMB.  DEG-42 P,2,4.2,2000,5—10,DUAL FUEL,#6,20772,Yes,2022,Elevator Apartments,74396,15,31,1929
FEDERAL  FST 100,HEVE  MMG 42 (P),1,4.2,1994,16—20,Not Dual,#4,27594,Yes,2016,Elevator Apartments,58600,6,65,1941
FEDERAL  FST 100,ICI DEG  42 P,1,4.2,1992,16—20,Not Dual,#6,28744,No,0,Elevator Apartments,33350,6,45,1962
FEDERAL  FST 100,INDUSTRIAL COMBUSTION #DEG-42(P),1,4.2,1980,26—30,Not Dual,#6,34507,Yes,2016,Elevator Apartments,70507,6,75,1935
FEDERAL  FST 100,HEVE MMG-42P,2,4.2,1991,16—20,Not Dual,#6,57487,Yes,2022,Walk-Up Apartments,80405,13,24,1916
FEDERAL  FST 100 (NEW),INDUSTRIAL COMBUSTION   DEG 42 (NEW),1,3.34,2003,5—10,DUAL FUEL,#6,31299,No,0,Elevator Apartments,38790,6,62,1961
FEDERAL  FST 100 SP,HEVEOIL  MEG-42 (P),1,3.34,1986,21—26,Not Dual,#6,19294,Yes,2013,Elevator Apartments,72222,6,54,1910
FEDERAL  FST 125,HEVE  MMG-54-P,1,5.25,1993,16—20,Not Dual,#4,34492,Yes,2018,Elevator Apartments,57636,6,57,1923
FEDERAL  FST 125,I.C.I.  DEG  54 P,1,5.25,1991,16—20,Not Dual,#6,34952,No,0,Walk-Up Apartments,32945,7,42,1915
FEDERAL  FST 125,IC  DEG. 54P,1,5.3,1988,21—26,Not Dual,#4,32704,Yes,2020,Office Buildings,66000,6,71,1963
FEDERAL  FST 125,HEVE  MEG 54 (P),1,6,1993,16—20,Not Dual,#6,34492,Yes,2019,Walk-Up Apartments,67954,7,64,1920
FEDERAL  FST 125,I.C.I. DEG 54 P,1,6.3,1985,21—26,Not Dual,#6,51730,Yes,2016,Loft Buildings,84102,6,64,1910
FEDERAL  FST 125 (NEW),INDUSTRIAL COMBUSTION   MMG  54P,1,0,2003,5—10,DUAL FUEL,#4,28744,No,0,Condominiums,4180,6,2,1910
FEDERAL  FST 125 (NEW),ICI  DEG 54 (NEW),1,4.18,2003,5—10,DUAL FUEL,#6,26368,Yes,2017,Elevator Apartments,63805,6,50,1961
FEDERAL  FST 150,HEV-E-OIL AM7E,1,4.7,1971,36—40,Not Dual,#6,69496,Yes,2021,Walk-Up Apartments,91777,13,0,1913
FEDERAL  FST 150,ICI  MMG 63 (P),1,6.2,1999,11—15,DUAL FUEL,#4,34108,Yes,2014,Walk-Up Apartments,74100,6,79,1930
FEDERAL  FST 150,HEVE (ICI) DEG 63 P,1,6.27,1998,11—15,DUAL FUEL,#4,40241,Yes,2021,Elevator Apartments,81000,6,70,1963
FEDERAL  FST 150,ICI DEG 63 P,1,6.3,1988,21—26,Not Dual,#6,23520,Yes,2018,Condominiums,82997,12,7,1920
FEDERAL  FST 150,ICI  DEG 63 P,1,6.3,2000,5—10,DUAL FUEL,#6,31810,Yes,2014,Walk-Up Apartments,103866,6,98,1929
FEDERAL  FST 150,INDUSTRIAL COMB.  DEG-63 P,1,6.3,2000,5—10,DUAL FUEL,#6,31810,Yes,2014,Elevator Apartments,92976,6,57,1951
FEDERAL  FST 175,HEVE  (ICI)DEG 85 P,1,7,1996,11—15,DUAL FUEL,#4,31752,Yes,2021,Educational Structures,107085,6,106,1936
FEDERAL  FST 175,HEVEOIL  DEG-84 (P)  (I.C.I.),1,7,1985,21—26,Not Dual,#6,45990,Yes,2013,Walk-Up Apartments,87400,9,78,1939
FEDERAL  FST 175,I.C.I. DEG-84P,1,7.35,1992,16—20,Not Dual,#6,45990,Yes,2021,Elevator Apartments,182015,13,121,1959
FEDERAL  FST 200,ICI  DEG-84 P,1,7.8,1999,11—15,DUAL FUEL,#4,42542,Yes,2022,Elevator Apartments,146490,5,142,1925
FEDERAL  FST 200,HEVE  DEG 84 (P),1,8.19,1993,16—20,Not Dual,#6,57487,No,0,Elevator Apartments,75753,11,74,1912
